id	score	entropy
F1	0	0.474166938537629
F2	0	0.474166938537629
F3	7.34762502336284e-05	0.474093462287395
F4	0	0.474166938537629
F5	0	0.474166938537629
F6	0	0.474166938537629
F7	0	0.474166938537629
F8	3.9790998077438e-05	0.474127147539552
F9	0.000101244368519215	0.47406569416911
F10	0	0.474166938537629
F11	3.9790998077549e-05	0.474127147539551
F12	0	0.474166938537629
F13	0.000146036092345647	0.474020902445283
F14	0.000241267301481829	0.473925671236147
F15	0	0.474166938537629
F16	0.000227488524013386	0.473939450013616
F17	8.72335288324977e-05	0.474079705008797
F18	0	0.474166938537629
F19	0.000318633484909348	0.47384830505272
F20	0	0.474166938537629
F21	3.77530607351684e-05	0.474129185476894
F22	0.000254949048422159	0.473911989489207
F23	7.40439221644795e-05	0.474092894615465
F24	0.000264433664586894	0.473902504873042
F25	0.000847941559345533	0.473318996978284
F26	0.000881745301056946	0.473285193236572
F27	0.000160788350109187	0.47400615018752
F28	0.000241835242165978	0.473925103295463
F29	0.000698190894414363	0.473468747643215
F30	0.000603176711674591	0.473563761825954
F31	0	0.474166938537629
F32	0.000163061621798188	0.474003876915831
F33	0.000222279294095129	0.473944659243534
F34	0.000579786315752562	0.473587152221876
F35	0	0.474166938537629
F36	0.000388648011378223	0.473778290526251
F37	0.000903920291300764	0.473263018246328
F38	0.000830216821408825	0.47333672171622
F39	0.00046994234157155	0.473696996196057
F40	0.000477206545135112	0.473689731992494
F41	0.000107369766090659	0.474059568771538
F42	0.000323686320872207	0.473843252216757
F43	0.00158375430015639	0.472583184237473
F44	0.00016966321199291	0.473997275325636
F45	0.000254039462426248	0.473912899075203
F46	7.92109747431713e-05	0.474087727562886
F47	0.000302163847692938	0.473864774689936
F48	0.000673099639455832	0.473493838898173
F49	0.000998766189177658	0.473168172348451
F50	0.00103231305176937	0.47313462548586
F51	0.000420586002936207	0.473746352534693
F52	0.000187828256457467	0.473979110281172
F53	0.00186972274257574	0.472297215795053
F54	0.00110434832821499	0.473062590209414
F55	0.000474222644707867	0.473692715892921
F56	0.000134987045009749	0.474031951492619
F57	0.00123253327657707	0.472934405261052
F58	0.000474222644707867	0.473692715892921
F59	0.000256863568619703	0.473910074969009
F60	0.000495641862687746	0.473671296674941
F61	0.000529669188072623	0.473637269349556
F62	0.00124822006148795	0.472918718476141
F63	0.000160072048475568	0.474006866489153
F64	0.000228816041968283	0.473938122495661
F65	0.000749286525620674	0.473417652012008
F66	0.00117283754991537	0.472994100987714
F67	0.00063208550519761	0.473534853032431
F68	7.27160804359084e-05	0.474094222457193
F69	0.000851926593284424	0.473315011944345
F70	0.000160072048475568	0.474006866489153
F71	0.0002850828056295	0.473881855732
F72	0.00130489469657646	0.472862043841053
F73	0.000522501003061449	0.473644437534568
F74	0.00165612940157556	0.472510809136053
F75	0.000866280879641079	0.473300657657988
F76	0.0011300286960671	0.473036909841562
F77	0.000820070456367061	0.473346868081262
F78	0.000713558604277964	0.473453379933351
F79	0.00123684580120759	0.472930092736421
F80	0.000863381358156057	0.473303557179473
F81	0.00064311250429977	0.473523826033329
F82	0.00180531366179665	0.472361624875832
F83	0.00100382529941512	0.473163113238214
F84	0.00170382915029804	0.472463109387331
F85	0.000637017160970033	0.473529921376659
F86	0.0013490752779648	0.472817863259664
F87	0.000483010660585148	0.473683927877044
F88	0.00114307368450267	0.473023864853126
F89	0.00094320390088537	0.473223734636744
F90	-0.00102269476852962	0.475189633306159
F91	0.00029961897530717	0.473867319562322
F92	0.00055872874900359	0.473608209788625
F93	0.00197801414844162	0.472188924389187
F94	0.000611103028495597	0.473555835509133
F95	0.000679755285206585	0.473487183252422
F96	0.000976464100065966	0.473190474437563
F97	0.00133138840422375	0.472835550133405
F98	0.000814547069123539	0.473352391468505
F99	0.00191206072512051	0.472254877812509
F100	0.0014739986751674	0.472692939862462
F101	0.000418382315335308	0.473748556222294
F102	0.000671461093192438	0.473495477444437
F103	0.000323344954395677	0.473843593583233
F104	-0.000411625818059314	0.474578564355688
F105	0.00156215753280581	0.472604781004823
F106	0.000943986289290433	0.473222952248339
F107	0.000553378689498174	0.473613559848131
F108	0.000985400565398309	0.473181537972231
F109	0.00147920276823299	0.472687735769396
F110	0.000383883049304257	0.473783055488325
F111	0.00119827648236376	0.472968662055265
