scheme	level	drug	microbial	plant	toxin	cosmetic	endogenous	all
maccs	0	0.300844864197477	0.353138481903444	0.36618453044786	0.821428571428571	NA	0.321139493133421	0.314178029149997
maccs	0.1	0.298973813788893	0.348881500539196	0.369550661466215	0.807692307692308	NA	0.318996020037858	0.312194703298419
maccs	0.2	0.294401992436334	0.353597302028487	0.372342926996886	0.791666666666667	NA	0.318845931908536	0.311821041681466
maccs	0.3	0.301274672259454	0.35775678665785	0.378512961884937	0.80952380952381	NA	0.321066597051101	0.314868797044364
pubchem	0	0.30478236953723	0.332303940759715	0.3872682100006	0.941176470588235	NA	0.296732788193749	0.296776522377835
pubchem	0.1	0.310363636516315	0.339012076991311	0.3922096940304	0.935779816513762	NA	0.30116502059271	0.301573740229759
pubchem	0.2	0.316693209854533	0.338374252170605	0.397408823908692	0.932692307692308	NA	0.304318660572773	0.305337763713952
pubchem	0.3	0.321738674355277	0.339535909388803	0.400954361461254	0.929292929292929	NA	0.307134082818198	0.308483344416819
