id	maccs-0	maccs-0.1	maccs-0.2	maccs-0.3
1a	0.687499999998568	0.717391304346267	0.697674418603029	0.702702702700803
2a	0.882352941175173	0.878787878786547	0.870967741934079	0.890909090907471
3a	0.599999999998667	0.627906976742726	0.5999999999985	0.578947368419529
4a	0.272727272726963	0.279069767441536	0.293333333332942	0.294117647058391
5a	0.764705882348443	0.764705882348443	0.733333333328444	0.714285714280612
6a	0.245283018867462	0.254901960783814	0.249999999999479	0.255813953487777
7a	0.938461538460095	0.937499999998535	0.950819672129589	0.962264150941581
8a	0.259259259258779	0.249999999999519	0.23999999999952	0.255319148935627
9a	0.765957446806881	0.782608695650473	0.767441860463332	0.799999999998
10a	0.982142857141103	0.981818181816397	0.980769230767345	0.978260869563091
11a	0.999999999997297	0.999999999997222	0.999999999997143	0.99999999999697
12a	0.32894736842062	0.310810810810391	0.318181818181336	0.293103448275357
13a	0.220338983050474	0.214285714285332	0.203703703703326	0.224489795917909
14a	0.807692307690754	0.836734693875843	0.869565217389414	0.894736842102908
15a	0.95918367346743	0.958333333331337	0.956521739128355	0.952380952378685
16a	0.765624999998804	0.762711864405487	0.763636363634975	0.733333333331704
17a	0.305555555555131	0.295774647886907	0.296874999999536	0.288135593219851
18a	0.755555555553877	0.790697674416766	0.774999999998062	0.789473684208449
19a	0.809523809521882	0.809523809521882	0.794871794869757	0.789473684208449
20a	0.328124999999487	0.333333333332804	0.327868852458479	0.363636363635702
21a	0.916666666664757	0.913043478258885	0.911111111109086	0.902439024388043
22a	0.978260869563091	0.977777777775605	0.976190476188152	0.999999999997143
23a	0.626865671640855	0.603174603173646	0.610169491524389	0.604166666665408
24a	0.384615384614645	0.392156862744329	0.354166666665929	0.363636363635537
25a	0.17999999999964	0.195652173912618	0.186046511627474	0.174999999999563
26a	0.683333333332194	0.684210526314589	0.666666666665432	0.693877551018992
27a	0.292682926828554	0.31578947368338	0.314285714284816	0.312499999999023
28a	0.363636363635702	0.384615384614645	0.35999999999928	0.355555555554765
29a	0.999999999997561	0.9999999999975	0.999999999997436	0.999999999997059
30a	0.271428571428184	0.292307692307243	0.258064516128616	0.283018867923994
31a	0.519230769229771	0.530612244896876	0.521739130433648	0.558139534882423
32a	0.377358490565326	0.408163265305289	0.38297872340344	0.461538461537278
33a	0.763157894734834	0.783783783781665	0.764705882350692	0.806451612900624
34a	0.555555555554012	0.558823529410121	0.562499999998242	0.607142857140689
35a	0.54054054053981	0.541666666665914	0.558823529410943	0.54098360655649
36a	0.876923076921728	0.870967741934079	0.87931034482607	0.867924528300249
37a	0.384615384614962	0.37931034482715	0.367088607594472	0.394366197182543
38a	0.564516129031348	0.566666666665722	0.547169811319722	0.577777777776494
39a	0.163265306122116	0.173913043477883	0.16279069767404	0.189189189188678
