id	ref	maccs-0	maccs-0.1	maccs-0.2	maccs-0.3	pubchem-0	pubchem-0.1	pubchem-0.2	pubchem-0.3
8a	0.0156	0.259259259258779	0.249999999999519	0.23999999999952	0.255319148935627	0.404255319148721	0.411428571428336	0.425925925925663	0.443708609271229
9a	0.5669	0.765957446806881	0.782608695650473	0.767441860463332	0.799999999998	0.727272727272219	0.736842105262604	0.730158730158151	0.739837398373382
10a	0.9844	0.982142857141103	0.981818181816397	0.980769230767345	0.978260869563091	0.993902439023784	0.993464052286932	0.993243243242572	0.992957746478174
11a	0.9609	0.999999999997297	0.999999999997222	0.999999999997143	0.99999999999697	0.948717948716733	0.948717948716733	0.948051948050717	0.947368421051385
12a	0	0.32894736842062	0.310810810810391	0.318181818181336	0.293103448275357	0.53174603174561	0.571428571428061	0.617647058822924	0.626262626261994
13a	0.0078	0.220338983050474	0.214285714285332	0.203703703703326	0.224489795917909	0.404624277456414	0.404907975459874	0.43243243243214	0.449275362318515
14a	0.7421	0.807692307690754	0.836734693875843	0.869565217389414	0.894736842102908	0.950354609928404	0.967741935483091	0.973913043477414	0.990566037734915
15a	0.9212	0.95918367346743	0.958333333331337	0.956521739128355	0.952380952378685	0.928571428570481	0.927083333332368	0.936170212764962	0.934065934064908
16a	0.5039	0.765624999998804	0.762711864405487	0.763636363634975	0.733333333331704	0.565217391303938	0.583999999999533	0.564102564102082	0.565217391303856
17a	0.0078	0.305555555555131	0.295774647886907	0.296874999999536	0.288135593219851	0.6424581005583	0.624999999999628	0.660130718953817	0.662068965516785
18a	0.2422	0.755555555553877	0.790697674416766	0.774999999998062	0.789473684208449	0.820143884891496	0.812030075187359	0.814516129031601	0.818181818181142
19a	0.4961	0.809523809521882	0.809523809521882	0.794871794869757	0.789473684208449	0.912698412697688	0.908333333332576	0.902654867255838	0.900900900900089
20a	0.0078	0.328124999999487	0.333333333332804	0.327868852458479	0.363636363635702	0.380116959064105	0.396341463414393	0.410256410256147	0.411764705882084
21a	0.9766	0.916666666664757	0.913043478258885	0.911111111109086	0.902439024388043	0.963636363634612	0.96296296296118	0.960784313723606	0.95999999999808
22a	0.9453	0.978260869563091	0.977777777775605	0.976190476188152	0.999999999997143	0.976562499999237	0.973913043477414	0.981132075470773	0.999999999998969
23a	0.3937	0.626865671640855	0.603174603173646	0.610169491524389	0.604166666665408	0.771241830064855	0.788732394365642	0.795454545453943	0.798449612402482
24a	0.0469	0.384615384614645	0.392156862744329	0.354166666665929	0.363636363635537	0.606299212597948	0.608333333332826	0.608695652173384	0.616071428570879
25a	0	0.17999999999964	0.195652173912618	0.186046511627474	0.174999999999563	0.37356321839059	0.391304347825844	0.416107382550056	0.442857142856827
26a	0.7953	0.683333333332194	0.684210526314589	0.666666666665432	0.693877551018992	0.86868686868643	0.874999999999524	0.885057471263859	0.895705521471843
27a	0.1575	0.292682926828554	0.31578947368338	0.314285714284816	0.312499999999023	0.640350877192421	0.657407407406799	0.673267326732007	0.673469387754415
28a	0.0156	0.363636363635702	0.384615384614645	0.35999999999928	0.355555555554765	0.439189189188892	0.463235294117306	0.479674796747578	0.469565217390896
29a	0.9453	0.999999999997561	0.9999999999975	0.999999999997436	0.999999999997059	0.978102189780308	0.991803278687712	0.999999999999099	0.999999999999039
30a	0	0.271428571428184	0.292307692307243	0.258064516128616	0.283018867923994	0.319526627218746	0.331210191082592	0.353741496598399	0.36111111111086
31a	0.8359	0.519230769229771	0.530612244896876	0.521739130433648	0.558139534882423	0.912280701753586	0.917431192659709	0.914285714284844	0.912621359222415
