id	pubchem-0	pubchem-0.1	pubchem-0.2	pubchem-0.3
1a	0.918181818180984	0.91346153846066	0.910891089108009	0.90999999999909
2a	0.947368421052178	0.948453608246934	0.944134078211763	0.941176470587682
3a	0.646616541352897	0.637795275590049	0.661016949151982	0.669565217390722
4a	0.386740331491499	0.419753086419494	0.44520547945175	0.467153284671192
5a	0.911764705881012	0.909090909089532	0.919354838708195	0.918032786883741
6a	0.438271604938001	0.45578231292486	0.474820143884551	0.492424242423869
7a	0.93006993006928	0.924812030074493	0.957264957264139	0.972477064219291
8a	0.404255319148721	0.411428571428336	0.425925925925663	0.443708609271229
9a	0.727272727272219	0.736842105262604	0.730158730158151	0.739837398373382
10a	0.993902439023784	0.993464052286932	0.993243243242572	0.992957746478174
11a	0.948717948716733	0.948717948716733	0.948051948050717	0.947368421051385
12a	0.53174603174561	0.571428571428061	0.617647058822924	0.626262626261994
13a	0.404624277456414	0.404907975459874	0.43243243243214	0.449275362318515
14a	0.950354609928404	0.967741935483091	0.973913043477414	0.990566037734915
15a	0.928571428570481	0.927083333332368	0.936170212764962	0.934065934064908
16a	0.565217391303938	0.583999999999533	0.564102564102082	0.565217391303856
17a	0.6424581005583	0.624999999999628	0.660130718953817	0.662068965516785
18a	0.820143884891496	0.812030075187359	0.814516129031601	0.818181818181142
19a	0.912698412697688	0.908333333332576	0.902654867255838	0.900900900900089
20a	0.380116959064105	0.396341463414393	0.410256410256147	0.411764705882084
21a	0.963636363634612	0.96296296296118	0.960784313723606	0.95999999999808
22a	0.976562499999237	0.973913043477414	0.981132075470773	0.999999999998969
23a	0.771241830064855	0.788732394365642	0.795454545453943	0.798449612402482
24a	0.606299212597948	0.608333333332826	0.608695652173384	0.616071428570879
25a	0.37356321839059	0.391304347825844	0.416107382550056	0.442857142856827
26a	0.86868686868643	0.874999999999524	0.885057471263859	0.895705521471843
27a	0.640350877192421	0.657407407406799	0.673267326732007	0.673469387754415
28a	0.439189189188892	0.463235294117306	0.479674796747578	0.469565217390896
29a	0.978102189780308	0.991803278687712	0.999999999999099	0.999999999999039
30a	0.319526627218746	0.331210191082592	0.353741496598399	0.36111111111086
31a	0.912280701753586	0.917431192659709	0.914285714284844	0.912621359222415
32a	0.612903225806056	0.629370629370189	0.631578947367946	0.635658914728189
33a	0.903225806450885	0.897435897435131	0.890909090908281	0.88785046728889
34a	0.822429906541288	0.826923076922282	0.826530612244055	0.821052631578083
35a	0.487603305784923	0.486956521738919	0.50961538461514	0.51999999999974
36a	0.94949494949447	0.951086956521222	0.948275862068421	0.9567901234562
37a	0.529411764705688	0.534693877550802	0.573394495412581	0.59134615384587
38a	0.732394366196667	0.744186046511051	0.78761061946833	0.841584158415008
39a	0.461538461538107	0.487394957982784	0.495495495495049	0.490909090908645
40a	0.781249999998779	0.790322580643887	0.779661016947831	0.793103448274495
41a	0.707692307691763	0.727272727272126	0.76363636363567	0.773584905659648
42a	0.835294117646076	0.860759493669797	0.878378378377192	0.874999999998785
43a	0.515337423312567	0.569444444444049	0.587301587301121	0.571428571428091
44a	0.924050632910223	0.973333333332036	0.972972972971658	0.972602739724695
45a	0.390862944162238	0.401098901098681	0.40697674418581	0.419753086419494
46a	0.894736842104321	0.891304347825118	0.885057471263351	0.880952380951332
47a	0.772727272726922	0.775609756097183	0.797872340425108	0.795454545454094
48a	0.824561403508049	0.849056603772784	0.878787878786991	0.894736842104321
49a	0.497297297297029	0.530487804877725	0.556291390728109	0.597122302157844
50a	0.582608695651667	0.594594594594059	0.607476635513451	0.624999999999399
51a	0.999999999999333	0.999999999999281	0.999999999999225	0.999999999999206
52a	0.689839572192145	0.683908045976618	0.686746987951394	0.689873417721082
53a	0.511235955055893	0.511764705882052	0.515527950310239	0.509554140127064
54a	0.935714285713617	0.933333333332642	0.930232558138814	0.935999999999251
55a	0.753424657533731	0.755725190839118	0.773109243696829	0.765765765765076
56a	0.822222222221309	0.831460674156369	0.829545454544512	0.827586206895601
57a	0.963963963963096	0.962264150942489	0.97029702970201	0.96969696969599
58a	0.990825688072486	0.990654205606551	0.999999999999039	0.999999999999
59a	0.386138613861004	0.389473684210116	0.395348837208843	0.397590361445304
60a	0.696969696969275	0.744680851063302	0.778625954197879	0.80833333333266
61a	0.350649350649199	0.367924528301713	0.38383838383819	0.398936170212554
62a	0.742268041236348	0.755319148935367	0.764044943819366	0.767441860464224
63a	0.172185430463462	0.187969924811889	0.18852459016378	0.194690265486553
64a	0.609090909090355	0.62857142857083	0.666666666665993	0.687499999999284
65a	0.989010989009902	0.988764044942709	0.98863636363524	0.988235294116485
66a	0.979381443298464	0.988636363635802	0.993670886075321	0.993243243242572
67a	0.924418604650625	0.921212121211563	0.918749999999426	0.923076923076331
68a	0.839622641508642	0.836538461537657	0.843137254901134	0.84999999999915
69a	0.803418803418117	0.818181818181074	0.820754716980358	0.817307692306907
70a	0.484693877550773	0.497175141242657	0.490322580644845	0.499999999999662
71a	0.966386554621037	0.973214285713417	0.971428571427646	0.980392156861784
72a	0.892857142856505	0.915384615383911	0.908333333332576	0.912280701753586
73a	0.191082802547649	0.190789473684085	0.195652173912902	0.198473282442597
74a	0.39999999999979	0.404494382022245	0.429447852760473	0.419354838709407
75a	0.899999999999308	0.903999999999277	0.899159663864791	0.896551724137158
76a	0.426035502958328	0.454545454545159	0.465753424657215	0.492753623188049
77a	0.724637681158895	0.735999999999411	0.754385964911619	0.758928571427894
78a	0.374269005847734	0.399999999999742	0.415492957746186	0.41726618705006
79a	0.596774193548066	0.619631901840111	0.642857142856725	0.635135135134706
80a	0.99999999999898	0.999999999998925	0.999999999998877	0.999999999998837
81a	0.523809523809212	0.532467532467187	0.556338028168622	0.562043795620028
82a	0.943262411346849	0.938931297709207	0.957264957264139	0.954954954954095
83a	0.83783783783746	0.831730769230369	0.82741116751227	0.831521739129983
84a	0.859374999998657	0.870967741934079	0.864406779659552	0.862068965515755
85a	0.888888888886914	0.886363636361622	0.874999999997812	0.868421052629294
86a	0.304687499999762	0.303278688524342	0.275862068965279	0.265486725663482
87a	0.842975206610874	0.836206896551003	0.831775700933802	0.825242718445801
88a	0.174825174825053	0.190839694656343	0.193277310924207	0.20535714285696
89a	0.999999999999296	0.999999999999237	0.999999999999194	0.99999999999918
90a	0.403846153845895	0.435714285713975	0.453124999999646	0.467741935483494
91a	0.794326241134188	0.823999999999341	0.883928571427782	0.96999999999903
92a	0.977528089886542	0.988505747125301	0.988372093022107	0.988235294116485
93a	0.575163398692435	0.598591549295353	0.606060606060147	0.604651162790229
94a	0.77027027026975	0.782608695651607	0.821138211381446	0.862068965516498
95a	0.581196581196085	0.62857142857083	0.65306122448913	0.680851063829063
96a	0.638655462184337	0.684684684684068	0.6759259259253	0.717171717170993
97a	0.78070175438528	0.777777777777058	0.784313725489427	0.787878787877992
98a	0.619047619047128	0.630252100839807	0.65454545454486	0.650943396225801
99a	0.824074074073311	0.820754716980358	0.826923076922282	0.84999999999915
100a	0.864864864864086	0.862385321100126	0.884615384614534	0.87999999999912
